"structure_id","photo_comments2","meas_diff_code","clearest_axis","binary_edge","DPen_inc","DLast_inc","VPen_inc","VLast_inc","DMIR","VMIR","abs_diff","blind_recheck","region","date_collected","nmfs_area","fish_id","specimen","species_code","length","weight","sex","specimen_sample_type","barcode","collection_type","collection_year","read_age","read_method","ageing_collection","Reader_Index","session_name","test_age","test_method","tester","update_age","update_method","final_age","final_method","readability","comment_codes","keywords","comments","timestamp","min_age","max_age","edge_type","session_id","reader_name","tester_name","tray_location","test_session_id","update_session_id","structure_type","Month","Stage","Stage.ls","Stage.same"
6029294,NA,1,"D","O",0.084,0.065,0.102,0.061,0.773809523809524,0.598039215686274,0.175770308123249,NA,"BS","2016-11-01 00:00:00",514,5840226,1024123,10210,270,210,1,NA,1024123,"fishery",2016,9,"B","B14016A",70,NA,NA,"",NA,NA,"",9,"B",1,"","",NA,NA,NA,NA,3,17033,"Julie Pearce","","5905 M 2",NA,NA,1,11,"Juvenile","Adult","different"
6030609,"very checky",3,"D","O",0.076,0.011,0.074,0.007,0.144736842105263,0.0945945945945946,0.0501422475106686,NA,"BS","2016-04-28 00:00:00",514,5779580,1034992,10210,290,260,2,NA,1034992,"fishery",2016,8,"B","B14016A",70,NA,NA,"",NA,NA,"",8,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5717 L 1",NA,NA,1,4,"Juvenile","Juvenile","same"
6031077,"broken; can't measure ventral side",2,"D","O",0.057,0.012,NA,NA,0.210526315789474,NA,NA,NA,"BS","2016-07-29 00:00:00",513,5801087,1111899,10210,300,340,1,NA,1111899,"fishery",2016,9,"B","B14016A",70,NA,NA,"",NA,NA,"",9,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5825 N 7",NA,NA,1,7,"Juvenile","Adult","different"
6032957,NA,3,"E","O",0.112,0.017,0.127,0.021,0.151785714285714,0.165354330708661,0.0135686164229471,NA,"BS","2016-10-09 00:00:00",513,5825063,1082207,10210,330,340,2,NA,1082207,"fishery",2016,13,"B","B14016A",70,NA,NA,"",NA,NA,"",13,"B",1,"","",NA,NA,NA,NA,2,17033,"Julie Pearce","","6020 L 7",NA,NA,1,10,"Adult","Adult","same"
6033173,NA,2,"D","O",0.072,0.032,0.079,0.021,0.444444444444444,0.265822784810127,0.178621659634318,NA,"BS","2016-09-21 00:00:00",514,5833615,1082495,10210,330,380,2,NA,1082495,"fishery",2016,9,"B","B14016A",70,NA,NA,"",NA,NA,"",9,"B",1,"","",NA,NA,NA,NA,2,17033,"Julie Pearce","","5877 B 9",NA,NA,1,9,"Juvenile","Adult","different"
6033342,"difficult to interpret edge",3,"V","O",0.044,0.014,0.04,0.019,0.318181818181818,0.475,0.156818181818182,NA,"BS","2016-10-02 00:00:00",513,5827297,1122202,10210,360,540,2,NA,1122202,"fishery",2016,22,"B","B14016A",70,NA,NA,"",NA,NA,"",22,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5895 A 0",NA,NA,1,10,"Adult","Adult","same"
6035089,"Crystallized at edge",3,"D","O",0.031,0.005,0.022,0.008,0.161290322580645,0.363636363636364,0.202346041055718,NA,"BS","2016-08-26 00:00:00",513,5822573,1079271,10210,390,700,1,NA,1079271,"fishery",2016,30,"B","B14016A",70,NA,NA,"",NA,NA,"",30,"B",2,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","6002 G 9",NA,NA,1,8,"Adult","Adult","same"
6035626,NA,1,"D","O",0.056,0.011,0.061,0.007,0.196428571428571,0.114754098360656,0.0816744730679157,NA,"BS","2016-06-16 00:00:00",509,5796001,997149,10210,260,180,2,NA,997149,"fishery",2016,9,"B","B14016A",70,NA,9,"B",6,NA,"",9,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","Delsa Anderl","5782 H 3",17669,NA,1,6,"Juvenile","Juvenile","same"
6035898,"trans zone starting to form",2,"V","T",0.083,0.076,0.094,0.083,0.91566265060241,0.882978723404255,0.0326839271981543,NA,"BS","2016-05-16 00:00:00",514,5784006,1056837,10210,280,230,2,NA,1056837,"fishery",2016,9,"B","B14016A",70,NA,NA,"",NA,NA,"",9,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","6004 L 2",NA,NA,1,5,"Juvenile","Juvenile","same"
6036140,NA,2,"D","O",0.046,0.016,0.052,0.028,0.347826086956522,0.538461538461539,0.190635451505017,NA,"BS","2016-01-30 00:00:00",516,5759494,1096536,10210,340,420,1,NA,1096536,"fishery",2016,27,"B","B14016A",70,NA,NA,"",NA,NA,"",27,"B",2,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5640 K 6",NA,NA,1,1,"Adult","Adult","same"
